ecgi,site_id,cell_name,enodeb_id,cell_az_deg,tac,cell_lat,cell_lon,cell_id,cell_carrier_freq_mhz,cell_txpwr_dbm
1001,Site1,Cell1,1,0,1,40.724196439158895,-73.98105729232459,cell_1_0,2100,25.331282159000015
1001,Site1,Cell2,1,120,1,40.724196439158895,-73.98105729232459,cell_1_120,2100,25.997825791101945
1001,Site1,Cell3,1,240,1,40.724196439158895,-73.98105729232459,cell_1_240,2100,23.301556622002906
1002,Site2,Cell1,2,0,1,40.759559512598635,-74.01986107411084,cell_2_0,2100,26.482657037816924
1002,Site2,Cell2,2,120,1,40.759559512598635,-74.01986107411084,cell_2_120,2100,24.093404262248136
1002,Site2,Cell3,2,240,1,40.759559512598635,-74.01986107411084,cell_2_240,2100,25.04408405875838
1003,Site3,Cell1,3,0,1,40.799784529283826,-74.02104569452071,cell_3_0,2100,26.528230116907107
1003,Site3,Cell2,3,120,1,40.799784529283826,-74.02104569452071,cell_3_120,2100,23.756476767523953
1003,Site3,Cell3,3,240,1,40.799784529283826,-74.02104569452071,cell_3_240,2100,25.5133367440764
1004,Site4,Cell1,4,0,1,40.79115725742523,-74.00469015895715,cell_4_0,2100,24.437087526481672
1004,Site4,Cell2,4,120,1,40.79115725742523,-74.00469015895715,cell_4_120,2100,23.079887213789746
1004,Site4,Cell3,4,240,1,40.79115725742523,-74.00469015895715,cell_4_240,2100,26.395224132255404
1005,Site5,Cell1,5,0,1,40.71964157387575,-74.01523425693891,cell_5_0,2100,26.7747534846663
1005,Site5,Cell2,5,120,1,40.71964157387575,-74.01523425693891,cell_5_120,2100,24.938273490282917
1005,Site5,Cell3,5,240,1,40.71964157387575,-74.01523425693891,cell_5_240,2100,26.013042679395692
1006,Site6,Cell1,6,0,1,40.77289113257901,-73.9593274487565,cell_6_0,2100,24.591865500117347
1006,Site6,Cell2,6,120,1,40.77289113257901,-73.9593274487565,cell_6_120,2100,26.8567063767616
1006,Site6,Cell3,6,240,1,40.77289113257901,-73.9593274487565,cell_6_240,2100,26.453681265833215
1007,Site7,Cell1,7,0,1,40.73161733144701,-73.9626122133282,cell_7_0,2100,23.992245175309318
1007,Site7,Cell2,7,120,1,40.73161733144701,-73.9626122133282,cell_7_120,2100,25.466430848618852
1007,Site7,Cell3,7,240,1,40.73161733144701,-73.9626122133282,cell_7_240,2100,25.30524615826403
1008,Site8,Cell1,8,0,1,40.75025507594651,-74.04801308661193,cell_8_0,2100,25.1135606078678
1008,Site8,Cell2,8,120,1,40.75025507594651,-74.04801308661193,cell_8_120,2100,23.069271065359814
1008,Site8,Cell3,8,240,1,40.75025507594651,-74.04801308661193,cell_8_240,2100,26.137046249030586
1009,Site9,Cell1,9,0,1,40.76556090659854,-74.03745698803546,cell_9_0,2100,23.684228127629797
1009,Site9,Cell2,9,120,1,40.76556090659854,-74.03745698803546,cell_9_120,2100,26.632293166853913
1009,Site9,Cell3,9,240,1,40.76556090659854,-74.03745698803546,cell_9_240,2100,25.234051102243118
1010,Site10,Cell1,10,0,1,40.758835377586344,-74.0380871354468,cell_10_0,2100,26.027229426293026
1010,Site10,Cell2,10,120,1,40.758835377586344,-74.0380871354468,cell_10_120,2100,24.844537319896837
1010,Site10,Cell3,10,240,1,40.758835377586344,-74.0380871354468,cell_10_240,2100,25.98558615590419
