cell_id,cell_id,avg_rsrp,lon,lat,cell_el_deg
cell_9_0,cell_9_0,-166.72442897860043,-74.05169577920148,40.7817211013289,12.0
cell_9_0,cell_9_0,-163.78486841970437,-74.04391415528896,40.78080723663848,12.0
cell_3_0,cell_3_0,-167.550955871983,-74.04404610822066,40.78894093680141,12.0
cell_8_0,cell_8_0,-163.4147113065123,-74.03061967891159,40.74185675385607,12.0
cell_10_0,cell_10_0,-144.3420337064214,-74.04243537764083,40.755834559968996,12.0
cell_9_0,cell_9_0,-148.2436396807629,-74.04309649346183,40.769424860094055,12.0
cell_10_0,cell_10_0,-143.39562848012844,-74.03534886983468,40.755198530751116,12.0
cell_10_0,cell_10_0,-147.2940160492712,-74.0353875837313,40.7538258843222,12.0
cell_10_0,cell_10_0,-158.40899976093246,-74.02913458843707,40.749869661281295,12.0
cell_9_0,cell_9_0,-156.6191026145965,-74.04928723277928,40.76998586556966,12.0
cell_10_0,cell_10_0,-147.9845354912992,-74.04300357198564,40.754570183101656,12.0
cell_9_0,cell_9_0,-160.54583768746676,-74.04509894954403,40.77713287366825,12.0
cell_10_0,cell_10_0,-145.92980905034565,-74.03162315570898,40.758133373541376,12.0
cell_10_0,cell_10_0,-141.54345785523176,-74.04172926961829,40.76131069264758,12.0
cell_9_0,cell_9_0,-152.73092774851094,-74.02784538563598,40.768183278521605,12.0
cell_10_0,cell_10_0,-139.06867088732977,-74.03498953526838,40.76093649731768,12.0
cell_10_0,cell_10_0,-137.88262436182546,-74.03582245740769,40.75648086691424,12.0
cell_10_0,cell_10_0,-151.62422119893878,-74.03496857045286,40.75204012449857,12.0
cell_10_0,cell_10_0,-157.8553878951969,-74.03137605154723,40.749261846929244,12.0
cell_10_0,cell_10_0,-140.42144059522843,-74.0394616821087,40.755553884597376,12.0
cell_8_0,cell_8_0,-151.25525026339585,-74.03875050756936,40.749999679677295,12.0
cell_10_0,cell_10_0,-145.00143893001558,-74.04324937956805,40.761358015748044,12.0
cell_9_0,cell_9_0,-176.23783918670412,-74.07263620510118,40.790258652613645,12.0
cell_10_0,cell_10_0,-160.86186662804624,-74.02878321486874,40.747662265628435,12.0
cell_3_0,cell_3_0,-173.94015510300648,-74.06100927177542,40.7920364708269,12.0
cell_10_0,cell_10_0,-151.6909222334515,-74.03283019440016,40.75280587264406,12.0
cell_10_0,cell_10_0,-148.36138538878043,-74.03509661393433,40.75349128342297,12.0
cell_10_0,cell_10_0,-156.69572153261865,-74.03300455947462,40.74955926881438,12.0
cell_9_0,cell_9_0,-172.79603435972484,-74.06961045261038,40.78124917326923,12.0
cell_10_0,cell_10_0,-150.05786592397635,-74.03490364560288,40.75281030664849,12.0
cell_3_0,cell_3_0,-177.47284450407034,-74.07304995232292,40.79815028314173,12.0
cell_9_0,cell_9_0,-156.67593658342074,-74.04450648849858,40.77405231696165,12.0
cell_9_0,cell_9_0,-165.2710965134982,-74.0524778729915,40.77906391585766,12.0
cell_9_0,cell_9_0,-170.9095881162283,-74.06013118003894,40.784528666863565,12.0
cell_9_0,cell_9_0,-158.7603634496405,-74.03498014173648,40.77691152466656,12.0
cell_3_0,cell_3_0,-176.567669874194,-74.07007754863233,40.79909272611974,12.0
cell_9_0,cell_9_0,-172.99908360848053,-74.06289738103483,40.78771061206884,12.0
cell_10_0,cell_10_0,-136.88264960851353,-74.03555764443614,40.75689397233383,12.0
cell_10_0,cell_10_0,-147.181417008511,-74.03136028019534,40.75713750454642,12.0
cell_10_0,cell_10_0,-149.6235032880067,-74.03464736633694,40.75309186183759,12.0
cell_9_0,cell_9_0,-144.89495023382722,-74.0361711055141,40.77007789662498,12.0
cell_9_0,cell_9_0,-148.98308021147312,-74.04244370884277,40.77028307936147,12.0
cell_8_0,cell_8_0,-156.5059529303707,-74.03550944103065,40.74731328769533,12.0
cell_9_0,cell_9_0,-171.83777044778967,-74.06161382398297,40.785685404012256,12.0
